2026-08-01 22:06:05 | INFO     | MantraAI | Note saved: 'Buy groceries – milk, eggs, and bread'
2026-08-01 22:06:05 | INFO     | MantraAI | Note saved: 'Meeting with team tomorrow at 10 AM'
2026-08-01 22:06:16 | INFO     | MantraAI | Wikipedia summary fetched for: 'Python programming language'
2026-08-01 22:13:05 | INFO     | MantraAI | TTS voice set to: Microsoft Hazel Desktop - English (Great Britain)
2026-08-01 22:13:05 | INFO     | MantraAI | TextToSpeech initialised.
2026-08-01 22:13:05 | INFO     | MantraAI | SpeechToText initialised.
2026-08-01 22:13:05 | INFO     | MantraAI | Speaking: 'Hello! I'm Mantra, version 1.0. Please wait while I calibrate my microphone.'
2026-08-01 22:13:13 | INFO     | MantraAI | Calibrating microphone for ambient noise…
2026-08-01 22:13:15 | INFO     | MantraAI | Calibration complete.
2026-08-01 22:13:15 | INFO     | MantraAI | WakeWordDetector ready. Wake word: 'hello mantra'
2026-08-01 22:13:15 | INFO     | MantraAI | Wake word listener active – waiting for wake word…
2026-08-01 22:13:15 | INFO     | MantraAI | Wake word detector started.
2026-08-01 22:13:15 | INFO     | MantraAI | Assistant initialised. All modules loaded.
2026-08-01 22:13:15 | INFO     | MantraAI | Speaking: 'I'm ready. Say 'Hello Mantra' to wake me up.'
2026-08-01 22:13:56 | INFO     | MantraAI | TTS voice set to: Microsoft Hazel Desktop - English (Great Britain)
2026-08-01 22:13:56 | INFO     | MantraAI | TextToSpeech initialised.
2026-08-01 22:13:56 | INFO     | MantraAI | SpeechToText initialised.
2026-08-01 22:13:56 | INFO     | MantraAI | Speaking: 'Hello! I'm Mantra, version 1.0. Please wait while I calibrate my microphone.'
2026-08-01 22:14:04 | INFO     | MantraAI | Calibrating microphone for ambient noise…
2026-08-01 22:14:06 | INFO     | MantraAI | Calibration complete.
2026-08-01 22:14:06 | INFO     | MantraAI | WakeWordDetector ready. Wake word: 'hello mantra'
2026-08-01 22:14:06 | INFO     | MantraAI | Wake word listener active – waiting for wake word…
2026-08-01 22:14:06 | INFO     | MantraAI | Wake word detector started.
2026-08-01 22:14:06 | INFO     | MantraAI | Assistant initialised. All modules loaded.
2026-08-01 22:14:06 | INFO     | MantraAI | Speaking: 'I'm ready. Say 'Hello Mantra' to wake me up.'
2026-08-01 22:14:22 | INFO     | MantraAI | Interrupt signal received. Exiting.
2026-08-01 22:14:22 | INFO     | MantraAI | Wake word detector stopped.
2026-08-01 22:14:22 | INFO     | MantraAI | Speaking: 'Goodbye! Mantra is shutting down.'
2026-08-01 22:14:26 | INFO     | MantraAI.main | MantraAI shutdown complete.
2026-08-01 22:14:26 | INFO     | MantraAI.main | MantraAI shutdown complete.
2026-08-01 22:14:51 | WARNING  | MantraAI | Preferred 'Male' voice not found. Using: Microsoft David Desktop - English (United States)
2026-08-01 22:14:51 | INFO     | MantraAI | TextToSpeech initialised.
2026-08-01 22:14:51 | INFO     | MantraAI | SpeechToText initialised.
2026-08-01 22:14:51 | INFO     | MantraAI | Speaking: 'Hello! I'm Mantra, version 1.0. Please wait while I calibrate my microphone.'
2026-08-01 22:14:58 | INFO     | MantraAI | Calibrating microphone for ambient noise…
2026-08-01 22:15:00 | INFO     | MantraAI | Calibration complete.
2026-08-01 22:15:00 | INFO     | MantraAI | WakeWordDetector ready. Wake word: 'hello mantra'
2026-08-01 22:15:00 | INFO     | MantraAI | Wake word listener active – waiting for wake word…
2026-08-01 22:15:00 | INFO     | MantraAI | Wake word detector started.
2026-08-01 22:15:00 | INFO     | MantraAI | Assistant initialised. All modules loaded.
2026-08-01 22:15:00 | INFO     | MantraAI | Speaking: 'I'm ready. Say 'Hello Mantra' to wake me up.'
2026-08-01 22:15:04 | INFO     | MantraAI | Interrupt signal received. Exiting.
2026-08-01 22:15:04 | INFO     | MantraAI | Wake word detector stopped.
2026-08-01 22:15:04 | INFO     | MantraAI | Speaking: 'Goodbye! Mantra is shutting down.'
2026-08-01 22:15:07 | INFO     | MantraAI.main | MantraAI shutdown complete.
2026-08-01 22:15:07 | INFO     | MantraAI.main | MantraAI shutdown complete.
2026-08-01 22:15:17 | WARNING  | MantraAI | Preferred 'Female' voice not found. Using: Microsoft David Desktop - English (United States)
2026-08-01 22:15:17 | INFO     | MantraAI | TextToSpeech initialised.
2026-08-01 22:15:17 | INFO     | MantraAI | SpeechToText initialised.
2026-08-01 22:15:17 | INFO     | MantraAI | Speaking: 'Hello! I'm Mantra, version 1.0. Please wait while I calibrate my microphone.'
2026-08-01 22:15:24 | INFO     | MantraAI | Interrupt signal received. Exiting.
2026-08-01 22:15:24 | INFO     | MantraAI | Calibrating microphone for ambient noise…
2026-08-01 22:15:25 | INFO     | MantraAI | Calibration complete.
2026-08-01 22:15:25 | INFO     | MantraAI | WakeWordDetector ready. Wake word: 'hello mantra'
2026-08-01 22:15:25 | INFO     | MantraAI | Wake word listener active – waiting for wake word…
2026-08-01 22:15:25 | INFO     | MantraAI | Wake word detector started.
2026-08-01 22:15:25 | INFO     | MantraAI | Assistant initialised. All modules loaded.
2026-08-01 22:15:25 | INFO     | MantraAI | Speaking: 'I'm ready. Say 'Hello Mantra' to wake me up.'
2026-08-01 22:15:29 | INFO     | MantraAI | Interrupt signal received. Exiting.
2026-08-01 22:15:29 | INFO     | MantraAI | Wake word detector stopped.
2026-08-01 22:15:29 | INFO     | MantraAI | Speaking: 'Goodbye! Mantra is shutting down.'
2026-08-01 22:15:33 | INFO     | MantraAI.main | MantraAI shutdown complete.
2026-08-01 22:15:33 | INFO     | MantraAI.main | MantraAI shutdown complete.
2026-08-01 22:15:35 | INFO     | MantraAI | TTS voice set to: Microsoft Hazel Desktop - English (Great Britain)
2026-08-01 22:15:35 | INFO     | MantraAI | TextToSpeech initialised.
2026-08-01 22:15:36 | INFO     | MantraAI | SpeechToText initialised.
2026-08-01 22:15:36 | INFO     | MantraAI | Speaking: 'Hello! I'm Mantra, version 1.0. Please wait while I calibrate my microphone.'
2026-08-01 22:15:44 | INFO     | MantraAI | Calibrating microphone for ambient noise…
2026-08-01 22:15:45 | INFO     | MantraAI | Calibration complete.
2026-08-01 22:15:45 | INFO     | MantraAI | WakeWordDetector ready. Wake word: 'hello mantra'
2026-08-01 22:15:45 | INFO     | MantraAI | Wake word listener active – waiting for wake word…
2026-08-01 22:15:45 | INFO     | MantraAI | Wake word detector started.
2026-08-01 22:15:45 | INFO     | MantraAI | Assistant initialised. All modules loaded.
2026-08-01 22:15:45 | INFO     | MantraAI | Speaking: 'I'm ready. Say 'Hello Mantra' to wake me up.'
2026-08-01 22:15:58 | INFO     | MantraAI | Interrupt signal received. Exiting.
2026-08-01 22:15:58 | INFO     | MantraAI | Wake word detector stopped.
2026-08-01 22:15:58 | INFO     | MantraAI | Speaking: 'Goodbye! Mantra is shutting down.'
2026-08-01 22:16:02 | INFO     | MantraAI.main | MantraAI shutdown complete.
2026-08-01 22:16:02 | INFO     | MantraAI.main | MantraAI shutdown complete.
2026-08-01 22:18:31 | INFO     | MantraAI | TTS voice set to: Microsoft Hazel Desktop - English (Great Britain)
2026-08-01 22:18:31 | INFO     | MantraAI | TextToSpeech initialised.
2026-08-01 22:18:31 | INFO     | MantraAI | SpeechToText initialised.
2026-08-01 22:18:31 | INFO     | MantraAI | Speaking: 'Hello! I'm Mantra, version 1.0. Please wait while I calibrate my microphone.'
2026-08-01 22:18:39 | INFO     | MantraAI | Calibrating microphone for ambient noise…
2026-08-01 22:18:40 | INFO     | MantraAI | Calibration complete.
2026-08-01 22:18:41 | INFO     | MantraAI | WakeWordDetector ready. Wake word: 'hello mantra'
2026-08-01 22:18:41 | INFO     | MantraAI | Wake word listener active – waiting for wake word…
2026-08-01 22:18:41 | INFO     | MantraAI | Wake word detector started.
2026-08-01 22:18:41 | INFO     | MantraAI | Assistant initialised. All modules loaded.
2026-08-01 22:18:41 | INFO     | MantraAI | Speaking: 'I'm ready. Say 'Hello Mantra' to wake me up.'
2026-08-01 22:19:22 | INFO     | MantraAI | Interrupt signal received. Exiting.
2026-08-01 22:19:22 | INFO     | MantraAI | Wake word detector stopped.
2026-08-01 22:19:22 | INFO     | MantraAI | Speaking: 'Goodbye! Mantra is shutting down.'
2026-08-01 22:19:26 | INFO     | MantraAI.main | MantraAI shutdown complete.
2026-08-01 22:19:26 | INFO     | MantraAI.main | MantraAI shutdown complete.
2026-08-01 22:25:14 | INFO     | MantraAI | TTS voice set to: Microsoft Hazel Desktop - English (Great Britain)
2026-08-01 22:25:14 | INFO     | MantraAI | TextToSpeech initialised.
2026-08-01 22:25:14 | INFO     | MantraAI | SpeechToText initialised.
2026-08-01 22:25:14 | INFO     | MantraAI | Speaking: 'Hello! I'm Mantra, version 1.0. Please wait while I calibrate my microphone.'
2026-08-01 22:25:22 | INFO     | MantraAI | Calibrating microphone for ambient noise…
